id,maximum,minimum,mean,peak_to_peak,trimmed_mean,variance,standard_deviation,mean_abs_deviation,median_abs_deviation,crest_factor,Peak2RMS,skewness,kurtosis,shape_factor,rms,mean_frequency,frequency_center,rms_frequency,sd_frequency,largest_freq_amp,largest_freq_idx,largest_sideband_amp,sideband_index,sideband_level_factor,figure_of_merit,cluster_id
1562837846563,305.45,161.35,213.2755958549223,466.8,217.40257731958764,1067.8414826760452,32.6778439110668,29.293215388332552,28.14041450777201,1.4156638096774354,1.4156638096774354,-0.2534383111950951,1.7859789638621355,1.0116699162357947,215.76450419368842,2.9515355262236653,8.008879398936406,21.744024683941092,20.490149549416497,4.318028031395019,4.040404040404041,2.3664108205905525,9.090909090909092,0.01096756312829965,0.011340504477531441,0
1562837909199,321.72,163.71,216.21315789473687,485.43000000000006,220.0653125,1087.5388342382278,32.977853693626386,29.22186703601105,28.09105263157897,1.4709643125694216,1.4709643125694216,-0.05275066585233973,2.2322376640927075,1.011565021880426,218.71366779662543,3.132836368852371,10.824145845320162,25.863113678708682,20.420879147334702,4.0306828502935765,4.040404040404041,2.726474265670184,9.090909090909092,0.012465952828359321,0.01181655529995983,0
1562837972444,326.63,168.69,218.77015789473685,495.32,222.74291666666667,1041.7482194487532,32.27612460393523,28.59506703601109,27.02226315789472,1.4770397462470122,1.4770397462470122,0.03183129252600232,2.575365554107198,1.01082461387769,221.1382603819086,3.146301199538984,11.047986388279755,26.23369613419305,20.65806307288824,3.861452765607662,4.040404040404041,2.506140932100956,9.090909090909092,0.011332914203868736,0.011916375585720463,0
1562838035703,316.56,168.14,219.49021052631574,484.7,223.0641666666667,1033.8284231135738,32.15320237726833,28.757843767313037,27.46431578947369,1.427020859217261,1.427020859217261,-0.12257541885837935,1.9736761406618983,1.0106727604938508,221.83277697400803,3.145709026926279,10.482650544067363,25.267198011600925,20.72617073733334,3.9930136162694594,4.040404040404041,2.433634560967295,9.090909090909092,0.010970581508126015,0.011622626018088807,0
1562838103028,332.0,170.01,219.67549738219884,502.01,222.35412371134015,1005.5805347002556,31.7108898440308,27.902709903785567,27.29989528795813,1.4958156610683446,1.4958156610683446,-0.023235467961003158,2.2679191122201776,1.0103652231974314,221.95248294357222,3.172286636801722,10.763226981996992,25.680438362951108,20.84845227045979,3.7484319142044087,4.040404040404041,2.683620949738541,9.090909090909092,0.012090970617439805,0.011964577928129123,0
1562838166323,327.24,165.59,218.98486910994748,492.83,222.48175257731955,1197.0851077053808,34.598917724480636,30.520843726871576,29.235863874345576,1.4760401856563568,1.4760401856563568,0.014910585735856297,2.3465511656236755,1.012404564402631,221.7012810220237,3.3431775635458254,12.942539165906329,28.537739038824853,20.77650500783597,3.8036355654720753,4.040404040404041,2.6016908928380253,9.090909090909092,0.011735118898927671,0.01178283134625717,0
1562838229551,328.2,171.94,220.5770526315789,500.14,223.07052083333332,1017.8864439445982,31.904332682953864,28.015481440443235,27.09105263157895,1.4725912559801064,1.4725912559801064,0.06770736633691966,2.516412182089685,1.0104062640863878,222.87243569266025,3.2198794085003866,11.891493844432228,27.28031508513655,20.81715417557556,3.530201694087247,4.040404040404041,2.511887866553354,9.090909090909092,0.011270518306791572,0.011933769891604893,0
1562838297406,327.37,170.9,220.67073684210501,498.27,223.28479166666668,1047.7477205096957,32.368931408214515,28.488971745152412,27.440842105263158,1.467815557568754,1.467815557568754,0.00786210609361798,2.3101358839415638,1.010700886677022,223.0321093899876,3.2698936016183207,12.580216338247626,28.204592937564158,20.82156193277035,3.48434992248485,4.040404040404041,2.50967282235915,9.090909090909092,0.011252517985967695,0.011884102630639994,0
1562838360280,337.01,166.69,220.4742105263157,503.7,223.995625,1196.5648254293626,34.591398142159015,30.429357340720248,29.11484210526316,1.5100954082281877,1.5100954082281877,0.04494069815833197,2.5272276063469468,1.0122332630930542,223.17132954891758,3.3154728221032497,12.71505644141562,28.41809713832895,20.811834584468905,3.7257006542290068,4.040404040404041,2.719766649866617,9.090909090909092,0.01218689988254277,0.012024320782237335,0
1562838423573,331.11,170.19,221.27868421052608,501.3,224.19989583333336,1075.6475861634344,32.79706673108793,28.770279778393398,27.636263157894746,1.480178408318911,1.480178408318911,0.04319701213721927,2.5342107893241907,1.0109243376788295,223.69600727796924,3.2280866764006517,11.576485379849926,26.83089529456691,20.888996433914755,3.6838155336865372,4.040404040404041,2.743707993692557,9.090909090909092,0.012265341822946214,0.011923521065957563,0
1562904494643,235.61,134.61,181.20620689655186,370.22,176.42534482758626,1421.6478459571936,37.70474566891009,35.33246730083237,31.49482758620691,1.272966332662552,1.272966332662552,0.3764053926937159,1.3766316836183103,1.0214185294508449,185.08737737564135,1.589766502017105,9.42874896444982,24.925296914110927,10.505526290293696,2.72081391841178,4.040404040404041,1.5540549256454967,7.070707070707071,0.008396331223017372,0.017612816794735652,2
1562904568178,264.28,150.42,206.80326315789475,414.69999999999993,213.6461458333333,1046.2397661939062,32.345629785086984,29.853349584487525,27.528631578947376,1.2625793779539751,1.2625793779539751,-0.4627460514487329,1.6328955134196097,1.012157783782392,209.31753251686155,2.858253996527637,8.674540310065991,22.984956196221148,19.558600480183195,3.792396058652845,4.040404040404041,2.5417214030159974,6.0606060606060606,0.012142897790041785,0.010554144773242402,0
